,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
CE 633,Water Resource Systems: Planning and Management,3,0,0,,4,Udit Bhatia,,E,,,CE 633,,"Basic understanding of matrix algebra, probability and statistics.",,,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,,4,Pranab Mohapatra,," Monday, Thursday 3:30PM to 5:00PM",,,CE 625,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses CL,,,,,,,,,,,,,,,,,,,,
CL 423,Chemical Processes,3,0,0,,4,Subhash Deodhar,,A,,,CL 423,,Instructor’s consent (BTech 4th year students),,,,,,
CL 601,Advance Transport Phenomena,3,1,0,,4,Pratyush Dayal (I+T),,E ,K3,,CL 601,,,,,,,,
CL 604,Advanced Reaction Engineering,3,1,0,,4,Chinmay Ghoroi (I+T),,F,K1,,"CL 604 (I)
CL 604 (T)",,Fundamentals of chemical reaction engineering,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses CSE,,,,,,,,,,,,,,,,,,,,
CS 433,Computer Networks,3,1,0,,4,Sameer Kulkarni (I+T),,T,I2,,CS 433,,,,,,,,
CS 610,Algorithms,3,0,0,,4,Bireswar Das,,K,,,CS 610,,"Data Structures, familiarity with undergraduate algorithms.",,,,,,
CS 612,Computer Systems,3,0,0,,4,"Anirban Dasgupta, Nipun Batra, Mayank Singh, Sameer Kulkarni",,L,,,CS 612,,CS 301,,,,,,
CS 613,Natural Language Processing,3,0,0,,4,Mayank Singh,,M,,,CS 613,,"Basic knowledge of ES 331 & MA 202, Basic understanding of ES 102/112",,,,,,
CS 614,Advanced Algorithms,3,0,0,,4,Manoj Gupta,,G,,,CS 614,,ES 301 or equivalent,,,,,,
CS 691-IV,"Special Topics in Computer Science: Advanced Machine Learning
",3,0,0,,4,Anirban Dasgupta,,H,,,CS 691-I,20,Machine learning and data science course,,,,,,
CS 691-II,Special Topics in Computer Science: Computer Algebra,3,0,0,,4,Bireswar Das,,J,,,CS 691-II,,,,,,,,
CS 691-VI,Special Topics in Computer Science: Parameterized Algorithms,3,0,0,,4,Neeldhara Misra,,P,,,CS 691-III,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses EE,,,,,,,,,,,,,,,,,,,,
ES 615 ,Nature Inspired Computing,3,0,0,,4,Nithin George,,P,,,ES 615 ,,,"CSE, Data Analytics",,,,,
EE 605,Digital Image Processing,3,0,0,,4,Nitin Khanna,,"R2, R3",,,EE 605,,EE 411,,,,,,
ES 655,Medical Imaging Systems,3,0,0,,4,Himanshu Shekhar,,"B1, A2, A3",,,ES 655,,,,,,,,
EE 619 ,Special Electrical Machines,3,0,0,,4,Ragavan K.,,K,,,EE 619 ,,EE 331,,,,,,
ES 616,Digital Control Systems,3,1,0,,4,S Rajendran (I+T),,J,R1,,ES 616,,Control Systems,,,,,,
EE 617,VLSI Design,3,0,0,,4,Joycee Mekie,,"H2+I2, I3+T2",,,EE 617,,Digital Circuits,,,,,,
EE 691-I,Special Topics in Electrical Engineering: Computer Graphics,3,0,0,,4,Shanmuganathan Raman,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
